date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-19,Dunstall Park,21:16,5,Moyar Gossip,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
2026-08-19,Dunstall Park,21:16,6,Swift Waitress,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
2026-08-19,Harlow,10:32,1,Antalya,512832,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512832
2026-08-19,Harlow,10:32,2,Muinteoir Jane,512832,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512832
2026-08-19,Harlow,10:32,3,Skinny Pete,512832,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512832
2026-08-19,Harlow,10:32,4,Minnies Volga,512832,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512832
2026-08-19,Harlow,10:32,6,Moaning Countess,512832,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512832
2026-08-19,Harlow,10:48,1,Fenview Ladygrey,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,10:48,2,Tinks This,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,10:48,3,Heres Victoria,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,10:48,4,Random Lou,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,10:48,5,Divine Rule,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,10:48,6,Doggy Parton,512833,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512833
2026-08-19,Harlow,11:04,1,Blue Gemstone,512834,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512834
2026-08-19,Harlow,11:04,2,Hollywell Orchid,512834,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512834
2026-08-19,Harlow,11:04,3,Moaning Hagler,512834,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512834
2026-08-19,Harlow,11:04,5,Barrington Chap,512834,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512834
2026-08-19,Harlow,11:04,6,Salems Margarita,512834,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512834
2026-08-19,Harlow,11:21,1,Havana Kaci,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:21,2,Alfies Jet,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:21,3,Moaning Taylor,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:21,4,Fridays Ariana,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:21,5,Tanvalley Robin,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:21,6,Edermine Bucks,512835,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512835
2026-08-19,Harlow,11:38,1,Moaning Allora,512836,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512836
2026-08-19,Harlow,11:38,2,Burkos Destiny,512836,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512836
2026-08-19,Harlow,11:38,3,Nipper,512836,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512836
2026-08-19,Harlow,11:38,4,Coolruss Izzy,512836,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512836
