Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-16,Kinsley,13:26,1403004,https://www.timeform.com/greyhound-racing/racecards/kinsley/1326/2026-09-16/1403004,268m,D4,Metric Mari,Crystal Willow,Queen Ariana,Metric Mari has been running consistently well lately and has leading claims. Crystal Willow is also likely to be thereabouts.,"11/4 Metric Mari, 7/2 Crystal Willow, 7/2 Real Queen, 4/1 Queen Ariana, 6/1 De Girl Annie, 15/2 Crossfield Nora",QUEEN ARIANA Queen Ariana has won all its races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Kinsley,13:41,1403005,https://www.timeform.com/greyhound-racing/racecards/kinsley/1341/2026-09-16/1403005,268m,D5,Popular Bruno,Dromana Milo,Gazes Boby,Popular Bruno looks to have narrowly the best claims but might well need a clear run to score. Dromana Milo could well be best of the rest.,"15/8 Dromana Milo, 9/4 Popular Bruno, 3/1 Gazes Boby, 11/2 Kilgarran Rickey, 7/1 Beckys Cashout",BECKYS CASHOUT Beckys Cashout has won only 18.75% of races after leading at the first bend. Bet →,COMPLETE,
2026-09-16,Kinsley,13:58,1403006,https://www.timeform.com/greyhound-racing/racecards/kinsley/1358/2026-09-16/1403006,462m,A7,Chosen Lady,Unknown Daisy,Jennyontheblock,Chosen Lady is the recognizable early leader here and sets a solid standard. Unknown Daisy won't be far away either.,"13/8 Unknown Daisy, 9/4 Chosen Lady, 4/1 Crystal Ranger, 9/2 Jennyontheblock, 11/2 Zaconey Venus",CRYSTAL RANGER Crystal Ranger has the time to be at least 2 lengths behind at the sectional point. Bet →,COMPLETE,
2026-09-16,Kinsley,14:14,1403007,https://www.timeform.com/greyhound-racing/racecards/kinsley/1414/2026-09-16/1403007,462m,A7,Elite Lizzie,Golan Hazel,Individual Man,"Elite Lizzie has the best expected final time of these, is likely to get out in front and has obvious claims. Golan Hazel is likely to go close too.","4/6 Elite Lizzie, 9/4 Golan Hazel, 5/2 Individual Man, 7/1 Norden Girl, 33/1 Call Me Swift",ELITE LIZZIE Elite Lizzie has won only 29.55% of races after leading at the first bend. Bet →,COMPLETE,
2026-09-16,Monmore,11:03,1403032,https://www.timeform.com/greyhound-racing/racecards/monmore/1103/2026-09-16/1403032,480m,A9,Small Hours,Newinn Sally,Eagles Gift,Small Hours only just appeals most of these but prospects might have to depend on getting a clear run. Newinn Sally will have run well to finish second.,"11/4 Small Hours, 100/30 Newinn Sally, 7/2 Eagles Gift, 4/1 Noduff Venetian, 6/1 Tromora Boomer, 7/1 Kilwest Barney",KILWEST BARNEY Kilwest Barney has won only 21.43% of races after leading at the first bend. Bet →,COMPLETE,
2026-09-16,Monmore,11:19,1403033,https://www.timeform.com/greyhound-racing/racecards/monmore/1119/2026-09-16/1403033,264m,D3,Rambling Home,Longacres Noah,Alone All Alone,Rambling Home continues to run well and has fair claims. Longacres Noah is also likely to be on the premises.,"9/4 Longacres Noah, 100/30 Rambling Home, 7/2 Cazzers Ade, 7/2 Alone All Alone, 15/2 Whisky N Coke, 10/1 Dhustone Nita",RAMBLING HOME Rambling Home has won only 36.84% of races after leading at the third bend. Bet →,COMPLETE,
2026-09-16,Monmore,11:36,1403034,https://www.timeform.com/greyhound-racing/racecards/monmore/1136/2026-09-16/1403034,264m,D4,Phoenix Diva,Remarkable Scamp,Killimor Canya,Phoenix Diva has been running creditably of late and is just about the pick in this field. Remarkable Scamp ought to go close as well.,"9/4 Phoenix Diva, 100/30 Remarkable Scamp, 100/30 Zenith Fotospor, 9/2 Killimor Canya, 7/1 Whisky Time, 19/2 Swift Jam",SWIFT JAM Swift Jam has won only 18.18% of races after leading at the second bend. Bet →,COMPLETE,
2026-09-16,Monmore,11:52,1403035,https://www.timeform.com/greyhound-racing/racecards/monmore/1152/2026-09-16/1403035,480m,A7,Crafty Techno,Millview Mags,Record Legacy,Crafty Techno continues in form and could be difficult to catch. Record Legacy can beat the rest.,"15/8 Millview Mags, 7/2 Crafty Techno, 9/2 Boxing Friends, 11/2 Record Legacy, 11/2 Dromano Echo, 13/2 Aero Superstar",AERO SUPERSTAR Aero Superstar has run to form in 8 of its last 10 races in last 60 days. Bet →,COMPLETE,
2026-09-16,Monmore,12:09,1403036,https://www.timeform.com/greyhound-racing/racecards/monmore/1209/2026-09-16/1403036,264m,D2,Oblivion,Whelan,Aero Walsh,Oblivion has been hard to fault in recent runs and just about gets the nod in this company. Whelan is likely to be on the premises as well.,"13/8 Whelan, 5/2 Oblivion, 100/30 Bridge Of Dreams, 6/1 Aero Walsh, 13/2 Whisky Jet",WHELAN Whelan has finished in the first two in 51.52% of races from this trap. Bet →,COMPLETE,
2026-09-16,Monmore,12:26,1403037,https://www.timeform.com/greyhound-racing/racecards/monmore/1226/2026-09-16/1403037,480m,A9,Magical Be Lucky,Sugar Sherbut,Longrange Comet,Magical Be Lucky continues to run operate somewhere near current best and has a fair chance. Longrange Comet can emerge best of the rest.,"11/8 Magical Be Lucky, 7/2 Sugar Sherbut, 9/2 Bealtaine, 9/2 Longrange Comet, 5/1 Bang On Bonnie, 14/1 Kinaffe Star",SUGAR SHERBUT Sugar Sherbut has the early speed to be at least 2 lengths clear at the sectional point. Bet →,COMPLETE,
